frame_no,nose.x,nose.y,nose.prob,l.eye.x,l.eye.y,l.eye.prob,r.eye.x,r.eye.y,r.eye.prob,l.ear.x,l.ear.y,l.ear.prob,r.ear.x,r.ear.y,r.ear.prob,l.shoulder.x,l.shoulder.y,l.shoulder.prob,r.shoulder.x,r.shoulder.y,r.shoulder.prob,l.elbow.x,l.elbow.y,l.elbow.prob,r.elbow.x,r.elbow.y,r.elbow.prob,l.wrist.x,l.wrist.y,l.wrist.prob,r.wrist.x,r.wrist.y,r.wrist.prob,l.hip.x,l.hip.y,l.hip.prob,r.hip.x,r.hip.y,r.hip.prob,l.knee.x,l.knee.y,l.knee.prob,r.knee.x,r.knee.y,r.knee.prob,l.ankle.x,l.ankle.y,l.ankle.prob,r.ankle.x,r.ankle.y,r.ankle.prob
1,456.5299987792969,367.6758670806885,0.8687438368797302,488.96312713623047,329.1790008544922,0.8819912075996399,411.4958190917969,335.1847171783447,0.8844754099845886,533.8079452514648,353.21436882019043,0.873102605342865,359.8488998413086,364.27502632141113,0.9542320966720581,628.7104415893555,535.9472465515137,0.0010000000474974513,261.1808776855469,509.99616622924805,0.0010000000474974513,676.1833953857422,574.1232490539551,0.0010000000474974513,211.52606964111328,588.2178497314453,0.0010000000474974513,676.1833953857422,574.1232490539551,9.999999747378752e-06,270.29611587524414,499.96387481689453,4.250289566698484e-05,643.6872100830078,686.0886383056641,0.0007789911469444633,315.4142189025879,735.9323501586914,0.0010000000474974513,643.6872100830078,686.0886383056641,9.999999747378752e-06,315.4142189025879,735.9323501586914,9.999999747378752e-06,643.6872100830078,686.0886383056641,9.999999747378752e-06,315.4142189025879,735.9323501586914,9.999999747378752e-06
2,420.68885803222656,382.3322582244873,0.8814201354980469,458.2765579223633,339.8943042755127,0.8574725389480591,376.1631393432617,349.9673366546631,0.8643542528152466,517.7145767211914,351.7880058288574,0.9902894496917725,338.70574951171875,358.4542751312256,0.7452022433280945,622.0248794555664,544.9472236633301,0.0010000000474974513,265.9305953979492,517.3745155334473,0.0010000000474974513,679.1403961181641,583.4270668029785,0.0010000000474974513,198.61675262451172,576.1372375488281,0.0010000000474974513,679.1403961181641,583.4270668029785,9.999999747378752e-06,198.61675262451172,576.1372375488281,9.999999747378752e-06,622.0248794555664,544.9472236633301,9.999999747378752e-06,302.27827072143555,736.3865089416504,0.0010000000474974513,622.0248794555664,544.9472236633301,9.999999747378752e-06,302.27827072143555,736.3865089416504,9.999999747378752e-06,622.0248794555664,544.9472236633301,9.999999747378752e-06,302.27827072143555,736.3865089416504,9.999999747378752e-06
3,336.5144348144531,356.4397430419922,0.9225373864173889,360.42022705078125,312.6020336151123,0.9395033121109009,296.72468185424805,335.2298355102539,0.9386835098266602,422.2455596923828,321.54184341430664,1.0157544612884521,272.66984939575195,362.4939250946045,0.6136243939399719,554.2071533203125,501.0593032836914,0.0010000000474974513,221.1551284790039,531.6332244873047,0.0010000000474974513,598.4546661376953,615.0794792175293,0.0010000000474974513,165.18831253051758,566.0565948486328,0.000950862537138164,598.4546661376953,615.0794792175293,9.999999747378752e-06,187.58893966674805,503.16781997680664,3.627983824117109e-05,530.3614807128906,775.8347511291504,0.0010000000474974513,282.67871856689453,679.9532890319824,0.0006666840636171401,530.3614807128906,775.8347511291504,9.999999747378752e-06,282.67871856689453,679.9532890319824,9.999999747378752e-06,530.3614807128906,775.8347511291504,9.999999747378752e-06,282.67871856689453,679.9532890319824,9.999999747378752e-06
4,331.4064407348633,361.4337158203125,0.9162761569023132,359.5211410522461,321.33633613586426,0.9195530414581299,295.1373863220215,333.19942474365234,0.9110909104347229,416.6934585571289,335.8026123046875,1.0216883420944214,266.48754119873047,355.0558090209961,0.7591726779937744,538.0857467651367,506.8493843078613,0.0010000000474974513,198.27987670898438,525.4850578308105,0.0010000000474974513,591.6946792602539,605.0408363342285,0.0010000000474974513,159.62088584899902,570.9588432312012,0.0010000000474974513,480.71056365966797,492.2672653198242,6.595093145733699e-05,185.7834815979004,501.5417289733887,4.497151530813426e-05,508.16944122314453,769.7655487060547,0.0010000000474974513,228.64025115966797,694.2683601379395,0.0010000000474974513,508.16944122314453,769.7655487060547,9.999999747378752e-06,228.64025115966797,694.2683601379395,9.999999747378752e-06,508.16944122314453,769.7655487060547,9.999999747378752e-06,228.64025115966797,694.2683601379395,9.999999747378752e-06
5,380.3919982910156,343.2579803466797,0.9128443002700806,407.2126770019531,311.99758529663086,0.9315134286880493,340.15464782714844,316.0898780822754,0.9747582674026489,440.07503509521484,340.7547855377197,0.8447341918945312,286.60404205322266,352.0223808288574,0.9088892936706543,563.7428665161133,519.3130874633789,0.0010000000474974513,198.7430763244629,521.2150382995605,0.0010000000474974513,606.2449645996094,603.8769721984863,0.0010000000474974513,154.88490104675293,571.2336730957031,0.0010000000474974513,505.9513473510742,495.3675842285156,2.8490552722360007e-05,198.53172302246094,493.5431671142578,9.57820302573964e-05,512.0436096191406,752.0705223083496,0.0010000000474974513,234.14037704467773,704.8107147216797,0.0010000000474974513,512.0436096191406,752.0705223083496,9.999999747378752e-06,234.14037704467773,704.8107147216797,9.999999747378752e-06,512.0436096191406,752.0705223083496,9.999999747378752e-06,234.14037704467773,704.8107147216797,9.999999747378752e-06
6,381.80789947509766,214.7722578048706,0.9026429057121277,411.12396240234375,177.51204013824463,0.9190149307250977,337.9879379272461,184.31755542755127,0.9193568229675293,449.0283203125,194.49625968933105,0.8795411586761475,289.0929412841797,215.2655267715454,0.9625852704048157,545.3267669677734,365.61816215515137,0.8606864809989929,219.2586898803711,374.6909523010254,0.9074832797050476,625.4976654052734,567.0271110534668,0.0010000000474974513,156.11888885498047,557.1601295471191,0.0010000000474974513,653.5099029541016,519.2481994628906,0.0010000000474974513,191.21234893798828,532.3602676391602,0.0010000000474974513,513.6124420166016,773.9675903320312,0.0010000000474974513,277.08715438842773,738.7851905822754,0.0010000000474974513,513.6124420166016,773.9675903320312,9.999999747378752e-06,277.08715438842773,738.7851905822754,9.999999747378752e-06,513.6124420166016,773.9675903320312,9.999999747378752e-06,277.08715438842773,738.7851905822754,9.999999747378752e-06
7,391.33556365966797,216.28875732421875,0.9357795119285583,424.4252014160156,179.21613693237305,1.00153648853302,348.4816360473633,181.38673782348633,0.9312393665313721,460.30364990234375,203.60745906829834,0.8906458616256714,295.66076278686523,207.0622444152832,0.9301455020904541,545.6679534912109,374.1452693939209,0.8462159037590027,220.78805923461914,370.6116199493408,0.8994099497795105,625.734748840332,589.8627662658691,0.0010000000474974513,155.68097114562988,569.9750518798828,0.0010000000474974513,653.3844757080078,525.3105354309082,0.0010000000474974513,198.14037322998047,528.0508804321289,0.0010000000474974513,519.4701385498047,830.745849609375,0.0010000000474974513,279.8003387451172,745.1974296569824,0.0010000000474974513,519.4701385498047,830.745849609375,9.999999747378752e-06,279.8003387451172,745.1974296569824,9.999999747378752e-06,519.4701385498047,830.745849609375,9.999999747378752e-06,279.8003387451172,745.1974296569824,9.999999747378752e-06
8,390.7101821899414,219.33820724487305,0.9345303177833557,421.6269302368164,182.5164556503296,0.9783905148506165,348.59447479248047,184.01679039001465,0.9173890948295593,459.1551208496094,199.56982612609863,0.859070897102356,294.731502532959,208.82779598236084,0.9181424975395203,547.2220611572266,378.37557792663574,0.8509873151779175,220.34788131713867,373.6512565612793,0.8887191414833069,628.7100219726562,598.6839294433594,0.0010000000474974513,154.28621292114258,577.5168228149414,0.0010000000474974513,654.1236877441406,520.9566307067871,0.0007880004122853279,197.09928512573242,531.1748886108398,0.0009613977745175362,519.0606307983398,827.7083015441895,0.0010000000474974513,278.38809967041016,756.2941932678223,0.0010000000474974513,519.0606307983398,827.7083015441895,9.999999747378752e-06,278.38809967041016,756.2941932678223,9.999999747378752e-06,519.0606307983398,827.7083015441895,9.999999747378752e-06,278.38809967041016,756.2941932678223,9.999999747378752e-06
9,469.0486145019531,213.42786312103271,0.8369214534759521,510.7215118408203,180.48924922943115,0.8702824711799622,424.65187072753906,177.25074291229248,0.8740835785865784,553.3557510375977,200.73585033416748,0.8714239597320557,373.7583541870117,202.40781784057617,0.9013134837150574,621.7348480224609,378.91845703125,0.6448767781257629,275.4838180541992,358.29291343688965,0.96290123462677,696.1940765380859,591.0468292236328,0.0010000000474974513,193.12435150146484,584.7054862976074,0.0010000000474974513,569.3692016601562,418.3516216278076,0.0010000000474974513,349.96849060058594,480.0861167907715,0.0010000000474974513,541.3756561279297,823.8010025024414,0.0010000000474974513,337.7949523925781,778.9830207824707,0.0010000000474974513,541.3756561279297,823.8010025024414,9.999999747378752e-06,337.7949523925781,778.9830207824707,9.999999747378752e-06,541.3756561279297,823.8010025024414,9.999999747378752e-06,337.7949523925781,778.9830207824707,9.999999747378752e-06
10,454.1480255126953,216.50935649871826,0.8998497128486633,495.54710388183594,179.70168113708496,0.910051703453064,412.53570556640625,177.51803398132324,0.9418657422065735,541.4046096801758,203.31785202026367,0.883232593536377,359.4557189941406,205.71836471557617,0.9146035313606262,631.2668991088867,406.7655086517334,0.6085981130599976,271.88329696655273,356.6971206665039,0.8802226185798645,713.0678558349609,637.9057502746582,0.0010000000474974513,189.82316970825195,576.1930274963379,0.0010000000474974513,550.6797027587891,456.1618423461914,0.0010000000474974513,347.51705169677734,461.4715576171875,0.0010000000474974513,556.4152908325195,856.3006782531738,0.0010000000474974513,327.57843017578125,773.810863494873,0.0010000000474974513,556.4152908325195,856.3006782531738,9.999999747378752e-06,327.57843017578125,773.810863494873,9.999999747378752e-06,556.4152908325195,856.3006782531738,9.999999747378752e-06,327.57843017578125,773.810863494873,9.999999747378752e-06
